Stock A,Stock B,p-value
BRITANNIA.NS,PIDILITIND.NS,0.12421751003222986
EICHERMOT.NS,ULTRACEMCO.NS,0.12462021130863743
ICICIPRULI.NS,RELIANCE.NS,0.12590414512490206
GRASIM.NS,SBIN.NS,0.12670980038878377
ASHOKLEY.NS,M&M.NS,0.12699926390495897
AMBUJACEM.NS,EICHERMOT.NS,0.12964991964847866
BHARATFORG.NS,CANBK.NS,0.1306055536325047
AXISBANK.NS,PIDILITIND.NS,0.13312314032428157
CIPLA.NS,TORNTPHARM.NS,0.13324104955835703
ICICIBANK.NS,ULTRACEMCO.NS,0.13441829899958274
BPCL.NS,SBIN.NS,0.13487096770986573
MARUTI.NS,SBIN.NS,0.13559786193060036
BHARATFORG.NS,ULTRACEMCO.NS,0.13614087775272354
ADANIPORTS.NS,AMBUJACEM.NS,0.1369129738734014
AMBUJACEM.NS,LT.NS,0.13701881441834118
IOC.NS,VEDL.NS,0.1379444937995281
NTPC.NS,POWERGRID.NS,0.1379623953772396
EICHERMOT.NS,IOC.NS,0.1389084881621151
TATACONSUM.NS,TATASTEEL.NS,0.1389356744238182
ADANIPORTS.NS,HAVELLS.NS,0.13919141779904937
TCS.NS,TECHM.NS,0.14009934829883935
NTPC.NS,VEDL.NS,0.1405169992576849
SBIN.NS,TVSMOTOR.NS,0.14062271949458083
CHOLAFIN.NS,EICHERMOT.NS,0.14136397326428235
AXISBANK.NS,BHARATFORG.NS,0.1414688871598606
BPCL.NS,TATAPOWER.NS,0.1422817113587389
MARUTI.NS,VEDL.NS,0.14236593802067365
BPCL.NS,LT.NS,0.14276355322750045
GRASIM.NS,ULTRACEMCO.NS,0.14344441369086752
BHEL.NS,ONGC.NS,0.14797554250711387
AXISBANK.NS,VEDL.NS,0.14907351943593394
HDFCBANK.NS,RELIANCE.NS,0.1491868514403628
CANBK.NS,POWERGRID.NS,0.15092047440647277
BAJFINANCE.NS,HDFCBANK.NS,0.1509282549204528
M&M.NS,VEDL.NS,0.1512304017724589
TATAPOWER.NS,VEDL.NS,0.15132190185382982
BAJAJ-AUTO.NS,ULTRACEMCO.NS,0.15287492696908173
BAJFINANCE.NS,TATACONSUM.NS,0.15480027235907112
AMBUJACEM.NS,TATACONSUM.NS,0.15490221154033923
LT.NS,VEDL.NS,0.1563955778528054
BPCL.NS,GRASIM.NS,0.15649847145469176
AMBUJACEM.NS,ICICIBANK.NS,0.15806449209294732
ONGC.NS,POWERGRID.NS,0.15874832484862617
BHARATFORG.NS,ICICIBANK.NS,0.160618757471776
EICHERMOT.NS,MARUTI.NS,0.16179962521750324
BHARATFORG.NS,BPCL.NS,0.16300332217366298
HINDALCO.NS,TATAPOWER.NS,0.16326865544475028
CHOLAFIN.NS,HINDALCO.NS,0.16442168996123074
BHARATFORG.NS,COALINDIA.NS,0.16593030262275077
BPCL.NS,HINDALCO.NS,0.16662592537184484
AXISBANK.NS,TATACHEM.NS,0.16720863643288264
CANBK.NS,M&M.NS,0.16730678187967818
ICICIBANK.NS,TITAN.NS,0.1680315781050159
CANBK.NS,LT.NS,0.1689375121852928
ONGC.NS,TATAPOWER.NS,0.1695431458662845
EICHERMOT.NS,HINDALCO.NS,0.1701553259427795
SBIN.NS,TATASTEEL.NS,0.17120025102909264
BANKBARODA.NS,BOSCHLTD.NS,0.17145478732305203
ADANIENT.NS,BAJAJFINSV.NS,0.1716380508949349
CANBK.NS,SIEMENS.NS,0.17288626496905551
HINDALCO.NS,MARUTI.NS,0.17409113084515004
AXISBANK.NS,TATACONSUM.NS,0.17448566324202797
BHEL.NS,SIEMENS.NS,0.1754413246513054
BHARATFORG.NS,IOC.NS,0.1760348936977592
BHARATFORG.NS,HEROMOTOCO.NS,0.1775573771659973
M&M.NS,NTPC.NS,0.17771369330841108
BANKBARODA.NS,NTPC.NS,0.17897655506566817
ASHOKLEY.NS,CANBK.NS,0.1791013723373684
BAJAJ-AUTO.NS,EICHERMOT.NS,0.18102864630206383
GAIL.NS,VEDL.NS,0.18148939937593062
BAJFINANCE.NS,HAVELLS.NS,0.18219858412835932
ASHOKLEY.NS,AXISBANK.NS,0.18307282872480507
TATACONSUM.NS,TITAN.NS,0.18430804315773958
MARUTI.NS,TATAPOWER.NS,0.18477272036536685
BRITANNIA.NS,TATACONSUM.NS,0.18610594872437508
MARUTI.NS,NTPC.NS,0.18776238634341275
BPCL.NS,CANBK.NS,0.18888890835774325
BAJAJFINSV.NS,KOTAKBANK.NS,0.1928609263818588
HINDALCO.NS,JINDALSTEL.NS,0.19385634650791178
IDFCFIRSTB.NS,ONGC.NS,0.19440693093985595
ASHOKLEY.NS,TATASTEEL.NS,0.19456699372699737
BANKBARODA.NS,SIEMENS.NS,0.19557464169233318
INFY.NS,TECHM.NS,0.19638838507423112
MARUTI.NS,TVSMOTOR.NS,0.20096176642362634
GAIL.NS,IOC.NS,0.20123454111682804
GRASIM.NS,UBL.NS,0.20127301967011657
HEROMOTOCO.NS,TVSMOTOR.NS,0.2015015390908383
AMBUJACEM.NS,BAJAJ-AUTO.NS,0.2018884029619636
SIEMENS.NS,VEDL.NS,0.2031341277659327
AXISBANK.NS,EICHERMOT.NS,0.20419790949993627
BHEL.NS,BPCL.NS,0.20424290623648622
BAJAJFINSV.NS,HINDALCO.NS,0.20498620691737335
GRASIM.NS,LT.NS,0.20511593281997886
ASHOKLEY.NS,ICICIBANK.NS,0.20645375367409008
INFY.NS,WIPRO.NS,0.20756219838721257
MARUTI.NS,TATASTEEL.NS,0.20782388497934734
POWERGRID.NS,TATAPOWER.NS,0.2088530388334769
PIDILITIND.NS,SHREECEM.NS,0.20936349960049433
BAJAJFINSV.NS,TATASTEEL.NS,0.2101219346908329
ICICIPRULI.NS,MARUTI.NS,0.21177518945885493
IOC.NS,SIEMENS.NS,0.2119927583737946
ADANIENT.NS,TATACONSUM.NS,0.21438044303736498
CIPLA.NS,DRREDDY.NS,0.21492798105065047
HDFCBANK.NS,TATACONSUM.NS,0.216724165609122
BANKBARODA.NS,TVSMOTOR.NS,0.21759304789745454
GAIL.NS,ONGC.NS,0.2191567644420771
SIEMENS.NS,ULTRACEMCO.NS,0.21976014397080074
